Open,High,Low,Close,Adj Close,Volume
126.01000213623047,127.94000244140625,125.94000244140625,127.0999984741211,125.62781524658203,63092900
127.81999969482422,128.32000732421875,126.31999969482422,126.9000015258789,125.43013763427734,72009500
126.95999908447266,127.38999938964844,126.41999816894531,126.8499984741211,125.38070678710938,56575900
126.44000244140625,127.63999938964844,125.08000183105469,125.27999877929688,123.82889556884766,94625600
125.56999969482422,125.80000305175781,124.55000305175781,124.61000061035156,123.16666412353516,71311100
125.08000183105469,125.3499984741211,123.94000244140625,124.27999877929688,122.84048461914062,67637100
124.27999877929688,125.23999786376953,124.05000305175781,125.05999755859375,123.6114501953125,59278900
124.68000030517578,124.8499984741211,123.12999725341797,123.54000091552734,122.10905456542969,76229200
124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,124.43183898925781,75169300
126.16999816894531,126.31999969482422,124.83000183105469,125.9000015258789,124.44171905517578,71057600
126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376953,125.27198028564453,74403800
127.20999908447266,127.75,126.5199966430664,127.12999725341797,125.657470703125,56877900
127.0199966430664,128.19000244140625,125.94000244140625,126.11000061035156,124.64928436279297,71186400
126.52999877929688,127.44000244140625,126.0999984741211,127.3499984741211,125.87492370605469,53522400
127.81999969482422,130.5399932861328,127.06999969482422,130.47999572753906,128.9686737060547,96906500
129.94000244140625,130.60000610351562,129.38999938964844,129.63999938964844,128.13841247558594,62746300
130.3699951171875,130.88999938964844,128.4600067138672,130.14999389648438,128.64248657226562,91815000
129.8000030517578,132.5500030517578,129.64999389648438,131.7899932861328,130.2634735107422,96721700
130.7100067138672,131.50999450683594,130.24000549316406,130.4600067138672,128.94891357421875,108953300
130.3000030517578,132.41000366210938,129.2100067138672,132.3000030517578,130.76760864257812,79663300
132.1300048828125,134.0800018310547,131.6199951171875,133.97999572753906,132.42813110351562,74783600
133.77000427246094,134.32000732421875,133.22999572753906,133.6999969482422,132.1513671875,60214200
134.4499969482422,134.63999938964844,132.92999267578125,133.41000366210938,131.86473083496094,68711000
133.4600067138672,133.88999938964844,132.80999755859375,133.11000061035156,131.56822204589844,70783700
133.41000366210938,135.25,133.35000610351562,134.77999877929688,133.21885681152344,62111300
134.8000030517578,136.49000549316406,134.35000610351562,136.3300018310547,134.75091552734375,64556100
136.1699981689453,137.41000366210938,135.8699951171875,136.9600067138672,135.37359619140625,63261400
136.60000610351562,137.3300018310547,135.75999450683594,137.27000427246094,135.68002319335938,52485800
137.89999389648438,140.0,137.75,139.9600067138672,138.3388671875,78852600
140.07000732421875,143.14999389648438,140.07000732421875,142.02000427246094,140.375,108181800
143.5399932861328,144.88999938964844,142.66000366210938,144.57000732421875,142.89547729492188,104911600
141.5800018310547,144.05999755859375,140.6699981689453,143.24000549316406,141.58087158203125,105575500
142.75,145.64999389648438,142.64999389648438,145.11000061035156,143.42919921875,99890800
146.2100067138672,146.32000732421875,144.0,144.5,142.82627868652344,76299700
144.02999877929688,147.4600067138672,143.6300048828125,145.63999938964844,143.9530792236328,100827100
148.10000610351562,149.57000732421875,147.67999267578125,149.14999389648438,147.42242431640625,127050800
149.24000549316406,150.0,147.08999633789062,148.47999572753906,146.7601776123047,106820300
148.4600067138672,149.75999450683594,145.8800048828125,146.38999938964844,144.6943817138672,93251400
143.75,144.07000732421875,141.6699981689453,142.4499969482422,140.79998779296875,121434600
143.4600067138672,147.10000610351562,142.9600067138672,146.14999389648438,144.4571533203125,96350000
145.52999877929688,146.1300048828125,144.6300048828125,145.39999389648438,143.7158660888672,74993500
145.94000244140625,148.1999969482422,145.80999755859375,146.8000030517578,145.09962463378906,77338200
147.5500030517578,148.72000122070312,146.9199981689453,148.55999755859375,146.83924865722656,71447400
148.27000427246094,149.8300018310547,147.6999969482422,148.99000549316406,147.26426696777344,72434100
149.1199951171875,149.2100067138672,145.5500030517578,146.77000427246094,145.0699920654297,104818600
144.80999755859375,146.97000122070312,142.5399932861328,144.97999572753906,143.30075073242188,118931200
144.69000244140625,146.5500030517578,144.5800018310547,145.63999938964844,143.9530792236328,56699500
144.3800048828125,146.3300018310547,144.11000061035156,145.86000061035156,144.1705322265625,70440600
146.36000061035156,146.9499969482422,145.25,145.52000427246094,143.83445739746094,62880000
145.80999755859375,148.0399932861328,145.17999267578125,147.36000061035156,145.65316772460938,64786600
147.27000427246094,147.7899932861328,146.27999877929688,146.9499969482422,145.24790954589844,56368300
146.97999572753906,147.83999633789062,146.1699981689453,147.05999755859375,145.3566436767578,46397700
146.35000610351562,147.11000061035156,145.6300048828125,146.13999938964844,144.6636962890625,54126800
146.1999969482422,146.6999969482422,145.52000427246094,146.08999633789062,144.61419677734375,48908700
146.44000244140625,147.7100067138672,145.3000030517578,145.60000610351562,144.12916564941406,69023100
146.0500030517578,146.72000122070312,145.52999877929688,145.86000061035156,144.3865203857422,48493500
146.19000244140625,149.0500030517578,145.83999633789062,148.88999938964844,147.3859100341797,72282600
148.97000122070312,149.44000244140625,148.27000427246094,149.10000610351562,147.5937957763672,59375000
148.5399932861328,151.19000244140625,146.47000122070312,151.1199951171875,149.5933837890625,103296000
150.22999572753906,151.67999267578125,149.08999633789062,150.19000244140625,148.6728057861328,92229700
149.8000030517578,150.72000122070312,146.14999389648438,146.36000061035156,144.8814697265625,86326000
145.02999877929688,148.0,144.5,146.6999969482422,145.21804809570312,86960300
147.44000244140625,148.5,146.77999877929688,148.19000244140625,146.69300842285156,60549600
148.30999755859375,150.19000244140625,147.88999938964844,149.7100067138672,148.1976318359375,60131800
